slug,title_ru,ru,en,fr,es,ar,zh
blue-economy-without-hype,Синяя экономика без тумана и hype,published,published,published,published,published,published
citizen-science-and-the-living-coastline,Citizen science и живая береговая линия,published,published,published,published,published,published
coastal-resilience-starts-with-data,Прибрежная устойчивость начинается с данных,published,published,published,published,published,published
coral-reefs-as-an-ocean-indicator,Коралловые рифы как индикатор состояния океана,published,published,published,published,published,published
deep-ocean-as-an-unknown-planet,Глубокий океан как неизвестная планета на Земле,published,published,published,published,published,published
earth-as-an-ocean-world,Земля как океанический мир,published,published,published,published,published,published
mapping-the-seafloor-mapping-the-future,Картировать морское дно значит картировать будущее,published,published,published,published,published,published
marine-biodiversity-needs-open-registries,Морскому биоразнообразию нужны открытые реестры,published,published,published,published,published,published
museums-and-planetariums-as-ocean-gateways,Музеи и планетарии как океанические ворота для общества,published,published,published,published,published,published
ocean-as-earths-life-support-system,Океан как система жизнеобеспечения Земли,published,published,published,published,published,published
ocean-indexes-need-methodology,Океанические индексы и рейтинги требуют методологии,published,published,published,published,published,published
ocean-literacy-as-infrastructure,Океаническая грамотность как инфраструктура будущего,published,published,published,published,published,published
ocean-noise-as-hidden-pollution,Шум в океане как невидимое загрязнение,published,published,published,published,published,published
ocean-technology-needs-public-language,Океаническим технологиям нужен понятный публичный язык,published,published,published,published,published,published
satellites-and-the-ocean,Спутники и океан: как мы видим планету сверху,published,published,published,published,published,published
why-ocean-conferences-matter,Почему океанические конференции важны не только для нетворка,published,published,published,published,published,published
why-ocean-organizations-need-open-public-hubs,Почему океаническим организациям нужны открытые публичные хабы,published,published,published,published,published,published
why-open-ocean-data-matters,Почему открытые океанические данные важны для общества,published,published,published,published,published,published
